5:30AM,5:30AM-6:32AM
5:50AM,5:50AM-6:52AM
6:20AM,6:20AM-7:15AM
6:40AM,6:40AM-7:35AM
7:00AM,7:00AM-7:55AM
7:20AM,7:20AM-8:15AM
7:40AM,7:40AM-8:35AM
7:55AM,7:55AM-8:50AM
8:15AM,8:15AM-9:17AM
8:35AM,8:35AM-9:37AM
8:55AM,8:55AM -9:51AM
9:40AM,9:40AM-10:36AM
10:25AM,10:25AM-11:21AM
11:25AM,11:25AM-12:21PM
12:25PM,12:25PM-1:21PM
1:25PM,1:25PM-2:21PM
2:25PM,2:25PM-3:21PM
3:25PM,3:25PM-4:21PM
4:25PM,4:25PM-5:21PM
5:25PM,5:25PM-6:21PM
6:30PM,6:30PM-7:20PM
7:30PM,7:30PM-8:20PM
8:30PM,8:30PM-9:20PM
9:30PM,9:30PM-10:20PM
10:30PM,10:30PM-11:20PM
